Question,Answer
Hi Hello Salut ,Hello this is my first Chat Bot. If you want to stop this conversation please type Stop
What does DNA stand for? Tell me about DNA,Deoxyribonucleic acid
How many bones are in the human body?,206
The concept of gravity was discovered by which famous physicist?,Sir Isaac Newton
What is the hardest natural substance on Earth?,Diamond
Which is the main gas that makes up the Earth's atmosphere?,Nitrogen
Humans and chimpanzees share roughly how much DNA?,98 per cent
What is the most abundant gas in the Earth's atmosphere?,Nitrogen
Which famous British physicist wrote A Brief History of Time?,Stephen Hawking
At what temperature are Celsius and Fahrenheit equal?,-40
What modern-day country was Marie Curie born in?,Poland
How are you? , Great ,thank you ! I am here to answer your questions
